fold_key	exact_spellings	readability_state	confidence	proposed_destination_if_A	meaning_and_taxonomy_question_if_B	understandable_vs_missing_if_C	opacity_reason_if_D	reasoning
flm-arma-sworda-k	Flm-ArmA-SwordA-K	A	High	groupFile/Arms				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
flm-arma-sworda-ll	Flm-ArmA-SwordA-LL	B	Medium		referent word(s): ['arm', 'sword'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
flm-arma-sworda-lr	Flm-ArmA-SwordA-LR	B	Medium		referent word(s): ['arm', 'sword'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
flm-arma-sworda-m	Flm-ArmA-SwordA-M	A	High	groupFile/Arms				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
flm-arma-sworda-n	Flm-ArmA-SwordA-N	A	High	groupFile/Arms				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
flm-arma-sworda-o	Flm-ArmA-SwordA-O	A	High	groupFile/Arms				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
flm-arma-sworda-z	Flm-ArmA-SwordA-Z	A	High	groupFile/Arms				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
flm-arma-swordb	Flm-ArmA-SwordB	A	High	groupFile/Arms				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
flm-arma-swordb-al	Flm-ArmA-SwordB-AL	B	Medium		referent word(s): ['arm', 'sword'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
flm-arma-swordb-ar	Flm-ArmA-SwordB-AR	B	Medium		referent word(s): ['arm', 'sword'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
flm-arma-swordb-bl	Flm-ArmA-SwordB-BL	B	Medium		referent word(s): ['arm', 'sword'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
flm-arma-swordb-br	Flm-ArmA-SwordB-BR	B	Medium		referent word(s): ['arm', 'sword'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
flm-arma-swordb-cl1	Flm-ArmA-SwordB-CL1	B	Medium		referent word(s): ['arm', 'sword'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
flm-arma-swordb-cl2	Flm-ArmA-SwordB-CL2	B	Medium		referent word(s): ['arm', 'sword'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
flm-arma-swordb-cr1	Flm-ArmA-SwordB-CR1	B	Medium		referent word(s): ['arm', 'sword'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
flm-arma-swordb-cr2	Flm-ArmA-SwordB-CR2	B	Medium		referent word(s): ['arm', 'sword'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
flm-arma-swordb-d	Flm-ArmA-SwordB-D	A	High	groupFile/Arms				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
flm-arma-swordb-e	Flm-ArmA-SwordB-E	A	High	groupFile/Arms				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
flm-arma-swordb-f	Flm-ArmA-SwordB-F	A	High	groupFile/Arms				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
flm-arma-swordb-g	Flm-ArmA-SwordB-G	A	High	groupFile/Arms				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
flm-arma-swordb-h	Flm-ArmA-SwordB-H	A	High	groupFile/Arms				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
flm-arma-swordb-il	Flm-ArmA-SwordB-IL	B	Medium		referent word(s): ['arm', 'sword'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
flm-arma-swordb-ir	Flm-ArmA-SwordB-IR	B	Medium		referent word(s): ['arm', 'sword'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
flm-arma-swordb-jl	Flm-ArmA-SwordB-JL	B	Medium		referent word(s): ['arm', 'sword'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
flm-arma-swordb-jr	Flm-ArmA-SwordB-JR	B	Medium		referent word(s): ['arm', 'sword'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
flm-arma-swordb-k	Flm-ArmA-SwordB-K	A	High	groupFile/Arms				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
flm-arma-swordb-ll	Flm-ArmA-SwordB-LL	B	Medium		referent word(s): ['arm', 'sword'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
flm-arma-swordb-lr	Flm-ArmA-SwordB-LR	B	Medium		referent word(s): ['arm', 'sword'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
flm-arma-swordb-m	Flm-ArmA-SwordB-M	A	High	groupFile/Arms				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
flm-arma-swordb-n	Flm-ArmA-SwordB-N	A	High	groupFile/Arms				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
flm-arma-swordb-o	Flm-ArmA-SwordB-O	A	High	groupFile/Arms				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
flm-arma-swordb-z	Flm-ArmA-SwordB-Z	A	High	groupFile/Arms				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
flm-arma-tail1	Flm-ArmA-Tail1	A	High	groupFile/Tail				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
flm-arma-tail2	Flm-ArmA-Tail2	A	High	groupFile/Tail				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
flm-arma-tail3	Flm-ArmA-Tail3	A	High	groupFile/Tail				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
flm-arma-tail4	Flm-ArmA-Tail4	A	High	groupFile/Tail				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
flm-arma-tummy1	Flm-ArmA-Tummy1	B	Medium		referent word(s): ['arm'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
flm-arma-tummy2	Flm-ArmA-Tummy2	B	Medium		referent word(s): ['arm'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
flm-armb-arm-la	Flm-ArmB-Arm-LA	B	Medium		referent word(s): ['arm'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
flm-armb-arm-lb	Flm-ArmB-Arm-LB	B	Medium		referent word(s): ['arm'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
flm-armb-arm-lc	Flm-ArmB-Arm-LC	B	Medium		referent word(s): ['arm'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
flm-armb-arm-ld	Flm-ArmB-Arm-LD	B	Medium		referent word(s): ['arm'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
flm-armb-arm-le	Flm-ArmB-Arm-LE	B	Medium		referent word(s): ['arm'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
flm-armb-arm-lf	Flm-ArmB-Arm-LF	B	Medium		referent word(s): ['arm'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
flm-armb-arm-lg	Flm-ArmB-Arm-LG	B	Medium		referent word(s): ['arm'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
flm-armb-arm-lh	Flm-ArmB-Arm-LH	B	Medium		referent word(s): ['arm'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
flm-armb-arm-li	Flm-ArmB-Arm-LI	B	Medium		referent word(s): ['arm'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
flm-armb-arm-ra	Flm-ArmB-Arm-RA	B	Medium		referent word(s): ['arm'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
flm-armb-arm-rb	Flm-ArmB-Arm-RB	B	Medium		referent word(s): ['arm'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
flm-armb-arm-rc	Flm-ArmB-Arm-RC	B	Medium		referent word(s): ['arm'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
flm-armb-arm-rd	Flm-ArmB-Arm-RD	B	Medium		referent word(s): ['arm'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
flm-armb-arm-re	Flm-ArmB-Arm-RE	B	Medium		referent word(s): ['arm'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
flm-armb-arm-rf	Flm-ArmB-Arm-RF	B	Medium		referent word(s): ['arm'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
flm-armb-arm-rg	Flm-ArmB-Arm-RG	B	Medium		referent word(s): ['arm'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
flm-armb-arm-rh	Flm-ArmB-Arm-RH	B	Medium		referent word(s): ['arm'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
flm-armb-arm-ri	Flm-ArmB-Arm-RI	B	Medium		referent word(s): ['arm'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
flm-armb-back-b1	Flm-ArmB-Back-B1	A	High	groupFile/Arms				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
flm-armb-back-b2	Flm-ArmB-Back-B2	A	High	groupFile/Arms				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
flm-armb-back-b3	Flm-ArmB-Back-B3	A	High	groupFile/Arms				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
flm-armb-back-u1	Flm-ArmB-Back-U1	A	High	groupFile/Arms				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
flm-armb-back-u2	Flm-ArmB-Back-U2	A	High	groupFile/Arms				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
flm-armb-back-u3	Flm-ArmB-Back-U3	A	High	groupFile/Arms				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
flm-armb-belt-b1	Flm-ArmB-Belt-B1	A	High	groupFile/Arms				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
flm-armb-belt-b2	Flm-ArmB-Belt-B2	A	High	groupFile/Arms				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
flm-armb-belt-f1	Flm-ArmB-Belt-F1	A	High	groupFile/Arms				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
flm-armb-belt-f2	Flm-ArmB-Belt-F2	A	High	groupFile/Arms				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
flm-armb-belt-la	Flm-ArmB-Belt-LA	B	Medium		referent word(s): ['arm', 'belt'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
flm-armb-belt-lb	Flm-ArmB-Belt-LB	B	Medium		referent word(s): ['arm', 'belt'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
flm-armb-belt-lc	Flm-ArmB-Belt-LC	B	Medium		referent word(s): ['arm', 'belt'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
flm-armb-belt-ld	Flm-ArmB-Belt-LD	B	Medium		referent word(s): ['arm', 'belt'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
flm-armb-belt-ra	Flm-ArmB-Belt-RA	B	Medium		referent word(s): ['arm', 'belt'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
flm-armb-belt-rb	Flm-ArmB-Belt-RB	B	Medium		referent word(s): ['arm', 'belt'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
flm-armb-belt-rc	Flm-ArmB-Belt-RC	B	Medium		referent word(s): ['arm', 'belt'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
flm-armb-belt-rd	Flm-ArmB-Belt-RD	B	Medium		referent word(s): ['arm', 'belt'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
flm-armb-float-a1	Flm-ArmB-Float-A1	B	Medium		referent word(s): ['arm'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
flm-armb-float-a2	Flm-ArmB-Float-A2	B	Medium		referent word(s): ['arm'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
flm-armb-float-a3	Flm-ArmB-Float-A3	B	Medium		referent word(s): ['arm'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
flm-armb-float-a4	Flm-ArmB-Float-A4	B	Medium		referent word(s): ['arm'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
flm-armb-float-a5	Flm-ArmB-Float-A5	B	Medium		referent word(s): ['arm'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
flm-armb-float-a6	Flm-ArmB-Float-A6	B	Medium		referent word(s): ['arm'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
flm-armb-float-b1	Flm-ArmB-Float-B1	B	Medium		referent word(s): ['arm'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
flm-armb-float-b2	Flm-ArmB-Float-B2	B	Medium		referent word(s): ['arm'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
flm-armb-float-b3	Flm-ArmB-Float-B3	B	Medium		referent word(s): ['arm'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
flm-armb-float-b4	Flm-ArmB-Float-B4	B	Medium		referent word(s): ['arm'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
flm-armb-float-b5	Flm-ArmB-Float-B5	B	Medium		referent word(s): ['arm'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
flm-armb-float-b6	Flm-ArmB-Float-B6	B	Medium		referent word(s): ['arm'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
flm-armb-foot-la	Flm-ArmB-Foot-LA	B	Medium		referent word(s): ['arm', 'foot'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
flm-armb-foot-lb	Flm-ArmB-Foot-LB	B	Medium		referent word(s): ['arm', 'foot'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
flm-armb-foot-ra	Flm-ArmB-Foot-RA	B	Medium		referent word(s): ['arm', 'foot'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
flm-armb-foot-rb	Flm-ArmB-Foot-RB	B	Medium		referent word(s): ['arm', 'foot'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
flm-armb-leg-lba	Flm-ArmB-Leg-LBA	B	Medium		referent word(s): ['arm', 'leg'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
flm-armb-leg-lbb	Flm-ArmB-Leg-LBB	B	Medium		referent word(s): ['arm', 'leg'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
flm-armb-leg-lbc	Flm-ArmB-Leg-LBC	B	Medium		referent word(s): ['arm', 'leg'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
flm-armb-leg-lbd	Flm-ArmB-Leg-LBD	B	Medium		referent word(s): ['arm', 'leg'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
flm-armb-leg-lm	Flm-ArmB-Leg-LM	B	Medium		referent word(s): ['arm', 'leg'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
flm-armb-leg-lua	Flm-ArmB-Leg-LUA	B	Medium		referent word(s): ['arm', 'leg'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
flm-armb-leg-lub	Flm-ArmB-Leg-LUB	B	Medium		referent word(s): ['arm', 'leg'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
flm-armb-leg-luc	Flm-ArmB-Leg-LUC	B	Medium		referent word(s): ['arm', 'leg'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
flm-armb-leg-rba	Flm-ArmB-Leg-RBA	B	Medium		referent word(s): ['arm', 'leg'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
flm-armb-leg-rbb	Flm-ArmB-Leg-RBB	B	Medium		referent word(s): ['arm', 'leg'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
flm-armb-leg-rbc	Flm-ArmB-Leg-RBC	B	Medium		referent word(s): ['arm', 'leg'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
flm-armb-leg-rbd	Flm-ArmB-Leg-RBD	B	Medium		referent word(s): ['arm', 'leg'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
flm-armb-leg-rm	Flm-ArmB-Leg-RM	B	Medium		referent word(s): ['arm', 'leg'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
flm-armb-leg-rua	Flm-ArmB-Leg-RUA	B	Medium		referent word(s): ['arm', 'leg'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
flm-armb-leg-rub	Flm-ArmB-Leg-RUB	B	Medium		referent word(s): ['arm', 'leg'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
flm-armb-leg-ruc	Flm-ArmB-Leg-RUC	B	Medium		referent word(s): ['arm', 'leg'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
flm-armb-neckb	Flm-ArmB-NeckB	A	High	groupFile/Arms				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
flm-armb-neckf	Flm-ArmB-NeckF	A	High	groupFile/Arms				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
flm-armb-neckl	Flm-ArmB-NeckL	A	High	groupFile/Arms				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
flm-armb-neckr	Flm-ArmB-NeckR	A	High	groupFile/Arms				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
flm-rig-eye-l	Flm-Rig-Eye-L	A	High	groupFile/Face/Eyes				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
flm-rig-eye-lb	Flm-Rig-Eye-LB	B	Medium		referent word(s): ['eye'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
flm-rig-eye-lu	Flm-Rig-Eye-LU	B	Medium		referent word(s): ['eye'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
flm-rig-eye-r	Flm-Rig-Eye-R	A	High	groupFile/Face/Eyes				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
flm-rig-eye-rb	Flm-Rig-Eye-RB	B	Medium		referent word(s): ['eye'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
flm-rig-eye-ru	Flm-Rig-Eye-RU	B	Medium		referent word(s): ['eye'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
flm-rig-face	Flm-Rig-Face	A	High	(no mapped destination -- manual review)				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
flm-rig-hole-a	Flm-Rig-Hole-A	C	Low			recognizable word(s) present: ['tech_vague', 'unknown'] -- mix of a recognizable generic/technical word and an unclear fragment -- context-dependent		mix of a recognizable generic/technical word and an unclear fragment -- context-dependent
flm-rig-hole-v1	Flm-Rig-Hole-V1	C	Low			recognizable word(s) present: ['tech_vague', 'unknown'] -- mix of a recognizable generic/technical word and an unclear fragment -- context-dependent		mix of a recognizable generic/technical word and an unclear fragment -- context-dependent
flm-rig-hole-v2	Flm-Rig-Hole-V2	C	Low			recognizable word(s) present: ['tech_vague', 'unknown'] -- mix of a recognizable generic/technical word and an unclear fragment -- context-dependent		mix of a recognizable generic/technical word and an unclear fragment -- context-dependent
flm-visor-l1	Flm-Visor-L1	D	Medium				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
flm-visor-l2	Flm-Visor-L2	D	Medium				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
flm-visor-l3	Flm-Visor-L3	D	Medium				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
flm-visor-r1	Flm-Visor-R1	D	Medium				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
flm-visor-r2	Flm-Visor-R2	D	Medium				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
flm-visor-r3	Flm-Visor-R3	D	Medium				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
floor light 1	Floor light 1	D	Medium				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
floor light 2	Floor light 2	D	Medium				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
floor light 3	Floor light 3	D	Medium				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
flower pattern	Flower pattern	B	Medium		referent word(s): ['flower'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
flowerchoker1.l	FlowerChoker1.L	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
flowerchoker1.r	FlowerChoker1.R	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
flowerchoker2.l	FlowerChoker2.L	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
flowerchoker2.r	FlowerChoker2.R	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
flowerchokerback	FlowerChokerBack	A	High	groupFile/Clothing				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
